seed,arm,image,condition,response_gap
20260824,B,./images/train2017/000000504259.jpg,brightness:0.8,1.0036083459854126
20260824,B,./images/train2017/000000107620.jpg,brightness:0.8,0.9256211519241333
20260824,B,./images/train2017/000000560103.jpg,brightness:0.8,0.9825672507286072
20260824,B,./images/train2017/000000325634.jpg,brightness:0.8,0.9998738169670105
20260824,B,./images/train2017/000000062937.jpg,brightness:0.8,1.0253158807754517
20260824,B,./images/train2017/000000326290.jpg,brightness:0.8,1.009945273399353
20260824,B,./images/train2017/000000560660.jpg,brightness:0.8,1.038047194480896
20260824,B,./images/train2017/000000423355.jpg,brightness:0.8,0.9963065981864929
20260824,B,./images/train2017/000000062311.jpg,brightness:0.8,1.0051971673965454
20260824,B,./images/train2017/000000075327.jpg,brightness:0.8,1.001404047012329
20260824,B,./images/train2017/000000124364.jpg,brightness:0.8,0.9871339201927185
20260824,B,./images/train2017/000000226957.jpg,brightness:0.8,0.9946988821029663
20260824,B,./images/train2017/000000026573.jpg,brightness:0.8,0.9881603717803955
20260824,B,./images/train2017/000000518548.jpg,brightness:0.8,0.9623216390609741
20260824,B,./images/train2017/000000467766.jpg,brightness:0.8,0.9862288236618042
20260824,B,./images/train2017/000000146819.jpg,brightness:0.8,1.023416519165039
20260824,B,./images/train2017/000000346367.jpg,brightness:0.8,1.0050404071807861
20260824,B,./images/train2017/000000404710.jpg,brightness:0.8,0.9820325970649719
20260824,B,./images/train2017/000000028517.jpg,brightness:0.8,1.0221452713012695
20260824,B,./images/train2017/000000180851.jpg,brightness:0.8,1.0119280815124512
20260824,B,./images/train2017/000000513585.jpg,brightness:0.8,0.9850439429283142
20260824,B,./images/train2017/000000123892.jpg,brightness:0.8,1.0456819534301758
20260824,B,./images/train2017/000000257874.jpg,brightness:0.8,1.0238137245178223
20260824,B,./images/train2017/000000220376.jpg,brightness:0.8,0.9512157440185547
20260824,B,./images/train2017/000000219117.jpg,brightness:0.8,1.0415946245193481
20260824,B,./images/train2017/000000423193.jpg,brightness:0.8,0.9778371453285217
20260824,B,./images/train2017/000000259793.jpg,brightness:0.8,0.9837411046028137
20260824,B,./images/train2017/000000465701.jpg,brightness:0.8,0.9844584465026855
20260824,B,./images/train2017/000000054796.jpg,brightness:0.8,1.0342543125152588
20260824,B,./images/train2017/000000253054.jpg,brightness:0.8,0.9850543737411499
20260824,B,./images/train2017/000000036113.jpg,brightness:0.8,0.9772158861160278
20260824,B,./images/train2017/000000345711.jpg,brightness:0.8,1.001449704170227
20260824,B,./images/train2017/000000034340.jpg,brightness:0.8,0.9892283082008362
20260824,B,./images/train2017/000000456315.jpg,brightness:0.8,0.9757667183876038
20260824,B,./images/train2017/000000482195.jpg,brightness:0.8,1.023108959197998
20260824,B,./images/train2017/000000553660.jpg,brightness:0.8,0.9641379714012146
20260824,B,./images/train2017/000000569500.jpg,brightness:0.8,1.0118680000305176
20260824,B,./images/train2017/000000027556.jpg,brightness:0.8,1.0350732803344727
20260824,B,./images/train2017/000000534845.jpg,brightness:0.8,0.9489091634750366
20260824,B,./images/train2017/000000020376.jpg,brightness:0.8,1.0351283550262451
20260824,B,./images/train2017/000000285998.jpg,brightness:0.8,1.0355618000030518
20260824,B,./images/train2017/000000284644.jpg,brightness:0.8,0.998609185218811
20260824,B,./images/train2017/000000319345.jpg,brightness:0.8,1.01906156539917
20260824,B,./images/train2017/000000082143.jpg,brightness:0.8,1.020536184310913
20260824,B,./images/train2017/000000414664.jpg,brightness:0.8,1.0175604820251465
20260824,B,./images/train2017/000000518472.jpg,brightness:0.8,1.0588382482528687
20260824,B,./images/train2017/000000494175.jpg,brightness:0.8,0.9933599829673767
20260824,B,./images/train2017/000000566832.jpg,brightness:0.8,0.974484920501709
20260824,B,./images/train2017/000000120767.jpg,brightness:0.8,0.9838890433311462
20260824,B,./images/train2017/000000053448.jpg,brightness:0.8,1.0017638206481934
20260824,B,./images/train2017/000000181453.jpg,brightness:0.8,0.9780203104019165
20260824,B,./images/train2017/000000473159.jpg,brightness:0.8,1.0538767576217651
20260824,B,./images/train2017/000000562943.jpg,brightness:0.8,1.0165131092071533
20260824,B,./images/train2017/000000237600.jpg,brightness:0.8,0.9520635008811951
20260824,B,./images/train2017/000000312935.jpg,brightness:0.8,1.0030916929244995
20260824,B,./images/train2017/000000227736.jpg,brightness:0.8,0.9635683298110962
20260824,B,./images/train2017/000000371486.jpg,brightness:0.8,1.0397922992706299
20260824,B,./images/train2017/000000477042.jpg,brightness:0.8,1.007550835609436
20260824,B,./images/train2017/000000295358.jpg,brightness:0.8,1.0372685194015503
20260824,B,./images/train2017/000000204962.jpg,brightness:0.8,1.0110101699829102
20260824,B,./images/train2017/000000077455.jpg,brightness:0.8,1.0055980682373047
20260824,B,./images/train2017/000000022683.jpg,brightness:0.8,1.029769778251648
20260824,B,./images/train2017/000000304909.jpg,brightness:0.8,0.9681390523910522
20260824,B,./images/train2017/000000428943.jpg,brightness:0.8,0.9981229305267334
20260824,B,./images/train2017/000000081842.jpg,brightness:0.8,1.0369219779968262
20260824,B,./images/train2017/000000264381.jpg,brightness:0.8,0.9934372305870056
20260824,B,./images/train2017/000000545919.jpg,brightness:0.8,0.9956895112991333
20260824,B,./images/train2017/000000058089.jpg,brightness:0.8,1.0166261196136475
20260824,B,./images/train2017/000000386127.jpg,brightness:0.8,0.9749003648757935
20260824,B,./images/train2017/000000362062.jpg,brightness:0.8,1.0248535871505737
20260824,B,./images/train2017/000000566855.jpg,brightness:0.8,1.0393601655960083
