seed,epoch_label,epoch,batch_index,sample_index,image,valid,cosine,norm_ratio,task_norm,kd_norm,dot,task_loss_batch,kd_raw_batch,kd_weighted_batch,task_items
20260824,early,9,0,0,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000055118.jpg,True,-0.012791699729859829,0.009585895575582981,0.30076053738594055,0.002883058972656727,-1.1091815395047888e-05,22.348827362060547,0.5606588125228882,0.3363952934741974,"[2.623694896697998,3.2361152172088623,0.022290736436843872,0.9084809422492981]"
20260824,early,9,0,1,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000486491.jpg,True,0.0007154301274567842,0.008698638528585434,0.32426345348358154,0.0028206505812704563,6.543566541949986e-07,22.348827362060547,0.5606588125228882,0.3363952934741974,"[2.623694896697998,3.2361152172088623,0.022290736436843872,0.9084809422492981]"
20260824,early,9,0,2,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000111194.jpg,True,-0.018604103475809097,0.026157528162002563,0.09530139714479446,0.0024928490165621042,-4.419814104039688e-06,22.348827362060547,0.5606588125228882,0.3363952934741974,"[2.623694896697998,3.2361152172088623,0.022290736436843872,0.9084809422492981]"
20260824,early,9,0,3,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000012236.jpg,True,0.021120652556419373,0.07394762337207794,0.037862855941057205,0.0027998683508485556,2.239021796412999e-06,22.348827362060547,0.5606588125228882,0.3363952934741974,"[2.623694896697998,3.2361152172088623,0.022290736436843872,0.9084809422492981]"
20260824,early,9,1,0,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000447095.jpg,True,0.005919823423027992,0.007171176839619875,0.43506452441215515,0.003119924571365118,8.035382052185014e-06,23.1221923828125,0.5538727641105652,0.33232367038726807,"[2.2827723026275635,3.956341505050659,0.02955072745680809,0.9321471452713013]"
20260824,early,9,1,1,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000103427.jpg,True,-0.018934231251478195,0.008459527045488358,0.3187328577041626,0.0026963292621076107,-1.6272244465653785e-05,23.1221923828125,0.5538727641105652,0.33232367038726807,"[2.2827723026275635,3.956341505050659,0.02955072745680809,0.9321471452713013]"
20260824,early,9,1,2,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000361519.jpg,True,-0.027707718312740326,0.06227484345436096,0.04803454503417015,0.0029913438484072685,-3.981262125307694e-06,23.1221923828125,0.5538727641105652,0.33232367038726807,"[2.2827723026275635,3.956341505050659,0.02955072745680809,0.9321471452713013]"
20260824,early,9,1,3,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000128142.jpg,True,0.01616528443992138,0.009560213424265385,0.2967832684516907,0.00283731147646904,1.3612245311378501e-05,23.1221923828125,0.5538727641105652,0.33232367038726807,"[2.2827723026275635,3.956341505050659,0.02955072745680809,0.9321471452713013]"
20260824,early,9,2,0,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000003242.jpg,True,-0.01840982213616371,0.004305475857108831,0.627356231212616,0.0027010671328753233,-3.1196021154755726e-05,25.905004501342773,0.5032258033752441,0.30193549394607544,"[2.693256378173828,4.312107563018799,0.02238421142101288,0.910590410232544]"
20260824,early,9,2,1,E:/2026YOLO/datasets/coco_d2_mini_2048_seed20260901/images/train2017/000000332646.jpg,True,-0.011444684118032455,0.007650198880583048,0.3571334183216095,0.0027321416418999434,-1.1167026059411e-05,25.905004501342773,0.5032258033752441,0.30193549394607544,"[2.693256378173828,4.312107563018799,0.02238421142101288,0.910590410232544]"
